"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname"
"WA Rush G00",2269,119.68,220.42,8,"WA","Everett","RCL G99 Div 1",""
"Spokane Sounders A G00",2081,145.56,49.3,12,"WA","Spokane","RCL G99 Div 1",""
"GS Surf A G00",2060,68.1,91.18,8,"WA","Bothel","RCL G99 Div 1",""
"ISC Gunners A G00",1923,63.55,37.75,22,"WA","Issaquah","PSPL WNPL U19",""
"Seattle United Copa G00",1921,52.01,45.47,10,"WA","Seattle","RCL G99 Div 1",""
"ASE Emerald G00",1831,41.99,30.14,14,"WA","Pasco","PSPL WNPL U19",""
"FC Portland Navy G00",1797,40.01,25.13,19,"OR","Portland","","PTT Win G99 Premier"
"FPSC Fury Black G00",1760,39.75,19.48,15,"WA","Tacoma","PSPL WNPL U19",""
"NEU White G00",1720,16.23,36.24,13,"OR","Portland","","PTT Win G99 Premier"
"Crossfire Select Habash G00",1705,25.01,21.13,18,"WA","Redmond","NPSL Div 1 (99) U19",""
"Spokane Foxes Premier G00",1697,17.55,28.55,16,"WA","Spokane","PSPL WNPL U19",""
"Southlake Select Rockets G00",1646,20.23,17.45,11,"WA","Renton","NPSL Div 1 (00) U18",""
"Westside Timbers Copa TS G00",1643,20.34,16.92,17,"OR","Beaverton","","PTT Win G99 Premier"
"Capital FC Timbers Red G00",1632,23.94,13.37,14,"OR","Salem","","PTT Win G99 Premier"
"PCU Red G00",1622,23.11,12.92,16,"OR","Portland","","PTT Win G99 Premier"
"SGESC Fusion Navy G00",1619,15.88,18.35,12,"WA","Graham","PSPL WSPL 2 U19",""
"THUSC Silver G00",1608,17,15.9,17,"OR","Tualatin Hills","","PTT Win G00 Div 1"
"Pacific FC Orange G00",1607,20.87,12.85,28,"WA","Battleground","","PTT Win G00 Div 1"
"Breakers Black Croft G00",1603,17,15.4,13,"WA","Spokane","PSPL WSPL 1 U19",""
"NW United Black G00",1584,13.01,17.58,23,"WA","Burlington","RCL G99 Div 2",""
"Cheney Storm FC G00",1565,8.92,22.44,14,"WA","Cheney","PSPL WNPL U19",""
"ISC Gunners B G00",1541,15.13,11.27,21,"WA","Issaquah","PSPL Classic U19",""
"Kent United Green G00",1528,17.75,8.73,12,"WA","Kent","NPSL Div 1 (00) U18",""
"GS Surf B G00",1512,17.1,8.14,16,"WA","Bothel","RCL G99 Div 3",""
"FC Salmon Creek Nemesis Blue G00",1468,9.48,10.8,23,"WA","Salmon Creek","","PTT Win G00 Div 1"
"NSC Edge G00",1442,11.79,7.25,8,"WA","Woodinvile","NPSL Div 1 (00) U18",""
"Snohomish United Black G00",1440,6.41,13.17,9,"WA","Snohomish","",""
"FC Edmonds Crew G00",1402,10.71,6.05,8,"WA","Edmonds","PSPL WSPL 1 U19",""
"Lake Hills Pumas G00",1401,7.88,8.18,11,"WA","Bellevue","NPSL Div 1 (00) U18",""
"Whatcom FC Rangers Blue G00",1392,5.94,10.18,14,"WA","Bellingham","RCL G99 Div 3",""
"Thelo Adrenaline G00",1390,10.45,5.7,14,"OR","Milwaukie","","PTT Win G00 Div 1"
"WA Rush Nero G00",1377,6.13,8.93,18,"WA","Everett","RCL G99 Div 3",""
"PacNW Blue G00",1376,6.82,7.95,11,"WA","Tukwila","RCL G99 Div 3",""
"Crossfire Select Toon G00",1360,8.32,5.84,13,"WA","Redmond","NPSL Div 2 (99) U19",""
"NK Storm G00",1333,5.14,7.81,13,"WA","Poulsbo","NPSL Div 1 (00) U18",""
"Eastside Timbers Red G00",1298,5.44,5.81,11,"OR","Gresham","","PTT Win G00 Div 1"
"SGESC Fusion White G00",1276,5.47,4.93,9,"WA","Graham","PSPL Classic U19",""
"Seattle United S Blue G00",1238,3.72,5.61,10,"WA","Seattle","NPSL Div 1 (99) U19",""
"Seattle United NE Blue G00",1153,2.47,4.69,8,"WA","Seattle","NPSL Div 1 (00) U18",""
